"tech"	"callret-1"	"callret-2"	"callret-3"
"http://dbpedia.org/resource/Fuzzy_logic"	"Fuzzy logic"	"Artificial intelligence"	"Fuzzy logic is a form of many-valued logic in which the truth values of variables may be any real number between 0 and 1, considered to be ""fuzzy"". By contrast, in Boolean logic, the truth values of variables may only be the ""crisp"" values 0 or 1. Fuzzy logic has been employed to handle the concept of partial truth, where the truth value may range between completely true and completely false. Furthermore, when linguistic variables are used, these degrees may be managed by specific (membership) functions. The term fuzzy logic was introduced with the 1965 proposal of fuzzy set theory by Lotfi Zadeh. Fuzzy logic had however been studied since the 1920s, as infinite-valued logic—notably by Łukasiewicz and Tarski. Fuzzy logic has been applied to many fields, from control theory to artificial intelligence."
"http://dbpedia.org/resource/Pattern_theory"	"Pattern theory"	"Artificial intelligence"	"Pattern theory, formulated by Ulf Grenander, is a mathematical formalism to describe knowledge of the world as patterns. It differs from other approaches to artificial intelligence in that it does not begin by prescribing algorithms and machinery to recognize and classify patterns; rather, it prescribes a vocabulary to articulate and recast the pattern concepts in precise language. In addition to the new algebraic vocabulary, its statistical approach is novel in its aim to: 
*  Identify the hidden variables of a data set using real world data rather than artificial stimuli, which was previously commonplace. 
*  Formulate prior distributions for hidden variables and models for the observed variables that form the vertices of a Gibbs-like graph. 
*  Study the randomness and variability of these graphs. 
*  Create the basic classes of stochastic models applied by listing the deformations of the patterns. 
*  Synthesize (sample) from the models, not just analyze signals with it. Broad in its mathematical coverage, Pattern Theory spans algebra and statistics, as well as local topological and global entropic properties. The Brown University Pattern Theory Group was formed in 1972 by Ulf Grenander. Many mathematicians are currently working in this group, noteworthy among them being the Fields Medalist David Mumford. Mumford regards Grenander as his ""guru"" in this subject."
"http://dbpedia.org/resource/Kinect"	"Kinect"	"Artificial intelligence"	"Kinect (codenamed Project Natal during development) is a line of motion sensing input devices by Microsoft for Xbox 360 and Xbox One video game consoles and Windows PCs. Based around a webcam-style add-on peripheral, it enables users to control and interact with their console/computer without the need for a game controller, through a natural user interface using gestures and spoken commands. The first-generation Kinect was first introduced in November 2010 in an attempt to broaden Xbox 360's audience beyond its typical gamer base. A version for Windows was released on February 1, 2012. Kinect competes with several motion controllers on other home consoles, such as Wii Remote Plus for Wii and Wii U, PlayStation Move/PlayStation Eye for PlayStation 3, and PlayStation Camera for PlayStation 4. Microsoft released the Kinect software development kit for Windows 7 on June 16, 2011. This SDK was meant to allow developers to write Kinecting apps in C++/CLI, C#, or Visual Basic .NET."
"http://dbpedia.org/resource/ICAD_(software)"	"ICAD (software)"	"Artificial intelligence"	"ICAD (Corporate history: ICAD, Inc., Concentra, KTI, Dassault Systemes) is a Knowledge-Based Engineering (KBE) system that enables users to encode design knowledge using a semantic representation that can be evaluated for parasolid output. ICAD has an open architecture that can utilize all the power and flexibility of the underlying language. KBE, as implemented via ICAD, received a lot of attention due to the remarkable results that appeared to take little effort. ICAD allowed one example of end-user computing that in a sense is unparalleled. Most ICAD developers were degreed engineers. Systems developed by ICAD users were non-trivial and consisted of highly complicated code. In the sense of end-user computing, ICAD was the first to allow the power of a domain tool to be in the hands of the user at the same time being open to allow extensions as identified and defined by the domain expert or SME. A COE article looked at the resulting explosion of expectations (see AI Winter), which were not sustainable. However, such a bubble burst does not diminish the existence of capability that would exist if expectations and use were properly managed."
"http://dbpedia.org/resource/Knowledge_level"	"Knowledge level"	"Artificial intelligence"	"In artificial intelligence, knowledge-based agents draw on a pool of logical sentences to infer conclusions about the world. At the knowledge level, we only need to specify what the agent knows and what its goals are; a logical abstraction separate from details of implementation. This notion of knowledge level was first introduced by Allen Newell in the 1980s, to have a way to rationalize an agent's behavior. The agent takes actions based on knowledge it possesses, in an attempt to reach specific goals. It chooses actions according to the principle of rationality. Beneath the knowledge level resides the symbol level. Whereas the knowledge level is world oriented, namely that it concerns the environment in which the agent operates, the symbol level is system oriented, in that it includes the mechanisms the agent has available to operate. The knowledge level rationalizes the agent's behavior, while the symbol level mechanizes the agent's behavior. For example, in a computer program, the knowledge level consists of the information contained in its data structures that it uses to perform certain actions. The symbol level consists of the program's algorithms, the data structures themselves, and so on."
"http://dbpedia.org/resource/Darwin_machine"	"Darwin machine"	"Artificial intelligence"	"A Darwin machine (a 1987 coinage by William H. Calvin, by analogy to a Turing machine) is a machine that, like a Turing machine, involves an iteration process that yields a high-quality result, but, whereas a Turing machine uses logic, the Darwin machine uses rounds of variation, selection, and inheritance. In its original connotation, a Darwin machine is any process that bootstraps quality by utilizing all of the six essential features of a Darwinian process: A pattern is copied with variations, where populations of one variant pattern compete with another population, their relative success biased by a multifaceted environment (natural selection) so that winners predominate in producing the further variants of the next generation (Darwin's inheritance principle). More loosely, a Darwin machine is a process that utilizes some subset of the Darwinian essentials, typically natural selection to create a non-reproducing pattern, as in neural Darwinism. Many aspects of neural development utilize overgrowth followed by pruning to a pattern, but the resulting pattern does not itself create further copies. Darwin machine has been used multiple times to name computer programs after Charles Darwin."
"http://dbpedia.org/resource/Action_selection"	"Action selection"	"Artificial intelligence"	"Action selection is a way of characterizing the most basic problem of intelligent systems: what to do next. In artificial intelligence and computational cognitive science, ""the action selection problem"" is typically associated with intelligent agents and animats—artificial systems that exhibit complex behaviour in an agent environment. The term is also sometimes used in ethology or animal behavior. One problem for understanding action selection is determining the level of abstraction used for specifying an ""act"". At the most basic level of abstraction, an atomic act could be anything from contracting a muscle cell to provoking a war. Typically for any one action-selection mechanism, the set of possible actions is predefined and fixed. Most researchers working in this field place high demands on their agents: 
*  The acting agent typically must select its action in dynamic and unpredictable environments.  
*  The agents typically act in real time; therefore they must make decisions in a timely fashion. 
*  The agents are normally created to perform several different tasks. These tasks may conflict for resource allocation (e.g. can the agent put out a fire and deliver a cup of coffee at the same time?) 
*  The environment the agents operate in may include humans, who may make things more difficult for the agent (either intentionally or by attempting to assist.)  
*  The agents themselves are often intended to model animals or humans, and animal/human behaviour is quite complicated. For these reasons action selection is not trivial and attracts a good deal of research."
"http://dbpedia.org/resource/Computational_creativity"	"Computational creativity"	"Artificial intelligence"	"Computational creativity (also known as artificial creativity, mechanical creativity or creative computation) is a multidisciplinary endeavour that is located at the intersection of the fields of artificial intelligence, cognitive psychology, philosophy, and the arts. The goal of computational creativity is to model, simulate or replicate creativity using a computer, to achieve one of several ends: 
*  To construct a program or computer capable of human-level creativity. 
*  To better understand human creativity and to formulate an algorithmic perspective on creative behavior in humans. 
*  To design programs that can enhance human creativity without necessarily being creative themselves. The field of computational creativity concerns itself with theoretical and practical issues in the study of creativity. Theoretical work on the nature and proper definition of creativity is performed in parallel with practical work on the implementation of systems that exhibit creativity, with one strand of work informing the other."
"http://dbpedia.org/resource/Decision_list"	"Decision list"	"Artificial intelligence"	"Decision lists are a representation for Boolean functions. Single term decision lists are more expressive than disjunctions and conjunctions; however, 1-term decision lists are less expressive than the general disjunctive normal form and the conjunctive normal form. The language specified by a k-length decision list includes as a subset the language specified by a k-depth decision tree. Learning decision lists can be used for attribute efficient learning."
"http://dbpedia.org/resource/Neural_modeling_fields"	"Neural modeling fields"	"Artificial intelligence"	"Neural modeling field (NMF) is a mathematical framework for machine learning which combines ideas from neural networks, fuzzy logic, and model based recognition. It has also been referred to as modeling fields, modeling fields theory (MFT), Maximum likelihood artificial neural networks (MLANS). This framework has been developed by Leonid Perlovsky at the AFRL. NMF is interpreted as a mathematical description of mind’s mechanisms, including concepts, emotions, instincts, imagination, thinking, and understanding. NMF is a multi-level, hetero-hierarchical system. At each level in NMF there are concept-models encapsulating the knowledge; they generate so-called top-down signals, interacting with input, bottom-up signals. These interactions are governed by dynamic equations, which drive concept-model learning, adaptation, and formation of new concept-models for better correspondence to the input, bottom-up signals."
"http://dbpedia.org/resource/Knowledge_acquisition"	"Knowledge acquisition"	"Artificial intelligence"	"Knowledge acquisition is the process used to define the rules and ontologies required for a knowledge-based system. The phrase was first used in conjunction with expert systems to describe the initial tasks associated with developing an expert system, namely finding and interviewing domain experts and capturing their knowledge via rules, objects, and frame-based ontologies. Expert systems were one of the first successful applications of artificial intelligence technology to real world business problems. Researchers at Stanford and other AI laboratories worked with doctors and other highly skilled experts to develop systems that could automate complex tasks such as medical diagnosis. Until this point computers had mostly been used to automate highly data intensive tasks but not for complex reasoning. Technologies such as inference engines allowed developers for the first time to tackle more complex problems. As expert systems scaled up from demonstration prototypes to industrial strength applications it was soon realized that the acquisition of domain expert knowledge was one of if not the most critical task in the knowledge engineering process. This knowledge acquisition process became an intense area of research on its own. One approach to knowledge acquisition investigated was to use natural language parsing and generation to facilitate knowledge acquisition. Natural language parsing could be performed on manuals and other expert documents and an initial first pass at the rules and objects could be developed automatically. Text generation was also extremely useful in generating explanations for system behavior. This greatly facilitated the development and maintenance of expert systems."
"http://dbpedia.org/resource/Winner-take-all_in_action_selection"	"Winner-take-all in action selection"	"Artificial intelligence"	"Winner-take-all is a computer science concept that has been widely applied in behavior-based robotics as a method of action selection for intelligent agents. Winner-take-all systems work by connecting modules (task-designated areas) in such a way that when one action is performed it stops all other actions from being performed, so only one action is occurring at a time. The name comes from the idea that the ""winner"" action takes all of the motor system's power."
"http://dbpedia.org/resource/Outline_of_artificial_intelligence"	"Outline of artificial intelligence"	"Artificial intelligence"	"The following outline is provided as an overview of and topical guide to artificial intelligence: Artificial intelligence (AI) – intelligence exhibited by machines or software. It is also the name of the academic field which studies how to create computers and computer software that are capable of intelligent behaviour."
"http://dbpedia.org/resource/Intelligent_control"	"Intelligent control"	"Artificial intelligence"	"Intelligent control is a class of control techniques that use various artificial intelligence computing approaches like neural networks, Bayesian probability, fuzzy logic, machine learning, evolutionary computation and genetic algorithms."
"http://dbpedia.org/resource/Cognitive_tutor"	"Cognitive tutor"	"Artificial intelligence"	"A cognitive tutor is a particular kind of intelligent tutoring system that utilizes a cognitive model to provide feedback to students as they are working through problems. This feedback will immediately inform students of the correctness, or incorrectness, of their actions in the tutor interface; however, cognitive tutors also have the ability to provide context-sensitive hints and instruction to guide students towards reasonable next steps."
"http://dbpedia.org/resource/Intel_RealSense"	"Intel RealSense"	"Artificial intelligence"	"Intel RealSense, formerly known as Intel Perceptual Computing, is a platform for implementing gesture-based human-computer interaction techniques. It consists of series of consumer grade 3D cameras together with an easy to use machine perception library that simplifies supporting the cameras for third-party software developers. As of March 2015, multiple laptop and tablet computer manufactures offer one or more devices with Intel RealSense camera built in. These are Asus, HP, Dell, Lenovo, and Acer. At the same time, a yet to be released standalone webcam from Razer will feature an Intel RealSense camera. Consumer-ready versions of the RealSense camera are the Razer Stargazer and the Creative BlasterX Senz3D."
"http://dbpedia.org/resource/Machine_perception"	"Machine perception"	"Artificial intelligence"	"Machine perception is the capability of a computer system to interpret data in a manner that is similar to the way humans use their senses to relate to the world around them. The basic method that the computers take in and respond to their environment is through the attached hardware. Until recently input was limited to a keyboard, or a mouse, but advances in technology, both in hardware and software, have allowed computers to take in sensory input in a way similar to humans. Machine perception allows the computer to use this sensory input, as well as conventional computational means of gathering information to gather information with greater accuracy and to present it in a way that is more comfortable for the user. These include computer vision, machine hearing, and machine touch."
"http://dbpedia.org/resource/Conflict_resolution_strategy"	"Conflict resolution strategy"	"Artificial intelligence"	"Conflict resolution strategies are used in production systems in artificial intelligence, such as in rule-based expert systems, to help in choosing which production rule to fire. The need for such a strategy arises when the conditions of two or more rules are satisfied by the currently known facts."
"http://dbpedia.org/resource/Admissible_heuristic"	"Admissible heuristic"	"Artificial intelligence"	"In computer science, specifically in algorithms related to pathfinding, a heuristic function is said to be admissible if it never overestimates the cost of reaching the goal, i.e. the cost it estimates to reach the goal is not higher than the lowest possible cost from the current point in the path."
"http://dbpedia.org/resource/Constructionist_design_methodology"	"Constructionist design methodology"	"Artificial intelligence"	"Constructionist design methodology (CDM) is an approach for building highly modular systems of many interacting components. CDM's strength lies in simplifying the model of complex, multi functional systems that require architectural evolution of tangled data flow and control hierarchies."
"http://dbpedia.org/resource/Colloquis"	"Colloquis"	"Artificial intelligence"	"Colloquis, previously known as ActiveBuddy and Conversagent, was a company that created conversation-based interactive agents originally distributed via instant messaging platforms. The company had offices in New York, NY and Sunnyvale, CA. Founded in 2000, the company was the brainchild of Robert Hoffer, Timothy Kay and Peter Levitan. The idea for interactive agents (also known as Internet bots) came from the team's vision to add functionality to increasingly popular instant messaging services. The original implementation took shape as a word-based adventure game but quickly grew to include a wide range of database applications including access to news, weather, stock information, movie times, yellow pages listings, and detailed sports data, as well as a variety of tools (calculators, translator, etc.). These various applications were bundled into a single entity and launched as SmarterChild in 2001. SmarterChild acted as a showcase for the quick data access and possibilities for fun conversation that the company planned to turn into customized, niche specific products. The rapid success of SmarterChild led to targeted promotional products for Radiohead, Austin Powers, The Sporting News, and others. ActiveBuddy sought to strengthen its hold on the interactive agent market for the future by filing for, and receiving, a controversial patent on their creation in 2002. The company also released the BuddyScript SDK, a free developer kit that allow programmers to design and launch their own interactive agents using ActiveBuddy’s proprietary scripting language, in 2002. Ultimately, however, the decline in ad spending in 2001 and 2002 led to a shift in corporate strategy towards business focused Automated Service Agents, building products for clients including Cingular, Comcast and Cox Communications. The company subsequently changed its name from ActiveBuddy to Conversagent in 2003, and then again to Colloquis in 2006. Colloquis was later purchased by Microsoft in October 2006. Most of the ActiveBuddy, Colloquis and Microsoft team that launched and nurtured SmarterChild is now working on AB2."
"http://dbpedia.org/resource/Project_Joshua_Blue"	"Project Joshua Blue"	"Artificial intelligence"	"Joshua Blue is a project under development by IBM that focuses on advancing the artificial intelligence field by designing and programing computers to emulate human mental functions."
